*****************************************************************************
ParFlow Output Log
		v3.3.0
	Compiled on    : Nov 30 2018 05:06:19
*****************************************************************************
==============================================
BEGIN Log Info (MGSemi)

coarsening direction
--------------------
        x
         y
        x
         y
        x
         y
        x
         y
        x

END Log Info
==============================================
==============================================
BEGIN Log Info (SolverRichards)

Transient Problem Solved.
-------------------------

Total Timesteps: 180

-------------------------
Sequence #       Time         \Delta t         Dumpfile #   Recompute?
Mems_allowed:	00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000001
Mems_allowed_list:	0
voluntary_ctxt_switches:	25
nonvoluntary_ctxt_switches:	9684


END(Contents of /proc/10911/status)

Memory in use : 2 MB in 63 allocs, 16 MB reserved ( 13 unused)


END Log Info
==============================================
